user_name,comment_raw,comment_cleaned,date,news_id,is_reply,collecting_date
,,,,3081273,False,2020-05-19
,,,,3081308,False,2020-05-19
rpasea,Can this hopeless administration get anything right? Let people go home or use the airport hotel. Insane to bus 300 or so people and luggage to a hotel in Kowloon City!,Can this hopeless administration get anything right? Let people go home or use the airport hotel. Insane to bus 300 or so people and luggage to a hotel in Kowloon City!,2020-04-24T20:26:53+08:00,3081300,False,2020-05-19
cruiser78,"This arrangement beats all forms of common sense. How is this any better than these people waiting for their test results at home? If anything, it increases risks for otherwise healthy people to be exposed to infections. Insanity.","This arrangement beats all forms of common sense. How is this any better than these people waiting for their test results at home? If anything, it increases risks for otherwise healthy people to be exposed to infections. Insanity.",2020-04-24T19:35:05+08:00,3081300,False,2020-05-19
honger,"The bus ride is highly risky to all passengers and crew, as is their stay to all hotel staff and periphery workers serving them.Those who opt to travel out can wait it out at the Expo Building since they are getting free tests; this one night arrangement is crazy and costs taxpayers money that could be better spent for more equipment/manpower at our hospitals!!!                 Madness to choose a hotel in Kowloon city when there are plenty in CLK.                 Completely idiotic!","The bus ride is highly risky to all passengers and crew, as is their stay to all hotel staff and periphery workers serving them.Those who opt to travel out can wait it out at the Expo Building since they are getting free tests; this one night arrangement is crazy and costs taxpayers money that could be better spent for more equipment/manpower at our hospitals!!!                 Madness to choose a hotel in Kowloon city when there are plenty in CLK.                 Completely idiotic!",2020-04-24T10:34:34+08:00,3081300,False,2020-05-19
[email protected]******,This comment was unpublished because it contravened the SCMP's Terms & Conditions.,This comment was unpublished because it contravened the SCMP's Terms & Conditions.,2020-04-24T07:51:48+08:00,3081300,False,2020-05-19
cruiser78,@[email protected]******                          Irrelevant opinion. You don’t know the circumstances of any of these people. Perfectly valid criticism is presented against this crazy arrangement.,@[email protected]******                          Irrelevant opinion. You don’t know the circumstances of any of these people. Perfectly valid criticism is presented against this crazy arrangement.,2020-04-24T19:41:46+08:00,3081300,False,2020-05-19
freewarrior,They should seriously have used one of the hotels by the airport for this.. Makes no sense why they used a hotel in the middle of Kowloon City!!,They should seriously have used one of the hotels by the airport for this.. Makes no sense why they used a hotel in the middle of Kowloon City!!,2020-04-24T07:08:31+08:00,3081300,False,2020-05-19
[email protected]******,"The hotels first responsibility is towards its own workers but it is probably trying to provide services on the cheap.                 According to original reports the government is paying $1m per day, that works out at around $2,000 for each room.","The hotels first responsibility is towards its own workers but it is probably trying to provide services on the cheap.                 According to original reports the government is paying $1m per day, that works out at around $2,000 for each room.",2020-04-24T01:59:41+08:00,3081300,False,2020-05-19
honger,@[email protected]******                         Costs about $500 in other hotels providing quarantine...the govt should be transparent and disclose the costs.And why was this hotel chosen???,@[email protected]******                         Costs about $500 in other hotels providing quarantine...the govt should be transparent and disclose the costs.And why was this hotel chosen???,2020-04-24T10:35:58+08:00,3081300,False,2020-05-19
patrick h,"Any idea what the rationale was for choosing this hotel, in the middle of a busy commercial area?","Any idea what the rationale was for choosing this hotel, in the middle of a busy commercial area?",2020-04-23T21:37:29+08:00,3081300,False,2020-05-19
[email protected]******,@patrick h                          wouldn't be surprised if the hotel has government connections.,@patrick h                          wouldn't be surprised if the hotel has government connections.,2020-04-23T21:40:19+08:00,3081300,False,2020-05-19
,,,,3081300,False,2020-05-19
Desmond,"As long as China keep those checks coming, the WHO will survive for awhile. I don't know when it will happen but the US officials are discussing about giving a good chunk of the WHO's funding to some African and Asian countries.","As long as China keep those checks coming, the WHO will survive for awhile. I don't know when it will happen but the US officials are discussing about giving a good chunk of the WHO's funding to some African and Asian countries.",2020-04-25T01:24:20+08:00,3081280,False,2020-05-19
王青龙1,Excellent! China should encourage more rational countries to join the wagon in encouraging WHO in the midst of science denialism in the West.,Excellent! China should encourage more rational countries to join the wagon in encouraging WHO in the midst of science denialism in the West.,2020-04-24T22:14:10+08:00,3081280,False,2020-05-19
